All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     contigs
# misassemblies              0      
    # relocations            0      
    # translocations         0      
    # inversions             0      
# misassembled contigs       0      
Misassembled contigs length  0      
# local misassemblies        3      
# mismatches                 71     
# indels                     7      
    # short indels           7      
    # long indels            0      
Indels length                9      
