Assembly	scaffolds
# contigs (>= 1000 bp)	20
# contigs (>= 5000 bp)	19
# contigs (>= 10000 bp)	19
# contigs (>= 25000 bp)	18
# contigs (>= 50000 bp)	17
Total length (>= 1000 bp)	4783047
Total length (>= 5000 bp)	4781640
Total length (>= 10000 bp)	4781640
Total length (>= 25000 bp)	4765238
Total length (>= 50000 bp)	4736548
# contigs	21
Largest contig	768359
Total length	4783640
Reference length	4641652
GC (%)	50.71
Reference GC (%)	50.79
N50	404504
NG50	404504
N75	302312
NG75	302312
L50	5
LG50	5
L75	8
LG75	8
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	768359
# local misassemblies	1
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.468
Duplication ratio	1.036
# N's per 100 kbp	2.01
# mismatches per 100 kbp	298.77
# indels per 100 kbp	1.04
Largest alignment	607862
NA50	404504
NGA50	404504
NA75	248289
NGA75	302312
LA50	5
LGA50	5
LA75	9
LGA75	8
