Assembly	contigs
# contigs (>= 0 bp)	118
# contigs (>= 1000 bp)	72
# contigs (>= 5000 bp)	52
# contigs (>= 10000 bp)	48
# contigs (>= 25000 bp)	42
# contigs (>= 50000 bp)	27
Total length (>= 0 bp)	4577280
Total length (>= 1000 bp)	4561376
Total length (>= 5000 bp)	4516669
Total length (>= 10000 bp)	4486780
Total length (>= 25000 bp)	4396467
Total length (>= 50000 bp)	3869162
# contigs	83
Largest contig	327173
Total length	4569160
Reference length	4641652
GC (%)	50.74
Reference GC (%)	50.79
N50	173566
NG50	133063
N75	78670
NG75	78670
L50	10
LG50	11
L75	21
LG75	21
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.365
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	1.25
# indels per 100 kbp	0.13
Largest alignment	327173
NA50	172028
NGA50	133063
NA75	78670
NGA75	78670
LA50	10
LGA50	11
LA75	21
LGA75	21
