Assembly	scaffolds
# contigs (>= 1000 bp)	127
# contigs (>= 5000 bp)	102
# contigs (>= 10000 bp)	82
# contigs (>= 25000 bp)	40
# contigs (>= 50000 bp)	8
Total length (>= 1000 bp)	2590370
Total length (>= 5000 bp)	2531915
Total length (>= 10000 bp)	2381880
Total length (>= 25000 bp)	1667521
Total length (>= 50000 bp)	590787
# contigs	140
Largest contig	125463
Total length	2597753
Reference length	4641652
GC (%)	50.72
Reference GC (%)	50.79
N50	30805
NG50	11986
N75	20647
L50	27
LG50	77
L75	53
# misassemblies	4
# misassembled contigs	4
Misassembled contigs length	152553
# local misassemblies	2
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	54.848
Duplication ratio	1.020
# N's per 100 kbp	46.85
# mismatches per 100 kbp	851.35
# indels per 100 kbp	0.63
Largest alignment	125463
NA50	29578
NGA50	11170
NA75	19843
LA50	28
LGA50	80
LA75	55
