Assembly                     final.contigs
# misassemblies              1            
    # relocations            1            
    # translocations         0            
    # inversions             0            
# misassembled contigs       1            
Misassembled contigs length  309          
# local misassemblies        2            
# mismatches                 6430         
# indels                     0            
    # short indels           0            
    # long indels            0            
Indels length                0            
